iter	Passed	Remaining
0	57	57295
1	57	28804
2	58	19316
3	58	14569
4	58	11729
5	59	9831
6	59	8483
7	60	7468
8	60	6665
9	61	6040
10	61	5516
11	61	5083
12	62	4714
13	62	4394
14	62	4117
15	63	3877
16	63	3662
17	63	3476
18	64	3316
19	64	3163
20	64	3023
21	65	2904
22	65	2801
23	66	2716
24	67	2621
25	67	2533
26	68	2456
27	68	2380
28	68	2307
29	69	2238
30	69	2178
31	70	2119
32	70	2061
33	70	2007
34	71	1959
35	71	1911
36	71	1868
37	72	1825
38	72	1784
39	72	1745
40	73	1708
41	73	1673
42	73	1639
43	74	1608
44	74	1578
45	74	1548
46	74	1520
47	75	1492
48	75	1467
49	75	1442
50	76	1418
51	76	1394
52	76	1372
53	77	1350
54	77	1330
55	77	1311
56	78	1292
57	78	1274
58	78	1256
59	79	1238
60	79	1221
61	79	1205
62	79	1189
63	80	1173
64	80	1161
65	81	1150
66	82	1143
67	82	1129
68	82	1119
69	83	1109
70	83	1097
71	84	1086
72	84	1075
73	85	1065
74	85	1057
75	86	1048
76	86	1037
77	86	1027
78	87	1017
79	87	1007
80	87	997
81	88	988
82	88	977
83	88	970
84	89	962
85	89	954
86	90	945
87	90	937
88	90	929
89	91	921
90	91	913
91	91	905
92	92	897
93	92	890
94	92	883
95	93	876
96	93	869
97	93	862
98	94	855
99	94	849
100	94	842
101	94	836
102	95	829
103	95	823
104	96	819
105	96	815
106	97	809
107	97	803
108	97	797
109	98	793
110	98	788
111	98	782
112	99	783
113	100	778
114	101	778
115	101	773
116	101	767
117	102	762
118	102	757
119	102	752
120	102	747
121	103	741
122	103	737
123	103	732
124	104	728
125	104	725
126	104	720
127	105	717
128	105	713
129	106	709
130	106	705
131	106	703
132	107	699
133	107	695
134	108	692
135	108	689
136	108	686
137	109	682
138	109	678
139	109	675
140	110	671
141	110	667
142	110	663
143	111	659
144	111	656
145	111	653
146	112	651
147	112	648
148	113	646
149	113	643
150	114	641
151	114	638
152	114	635
153	115	632
154	115	629
155	115	626
156	116	623
157	116	620
158	116	618
159	117	615
160	117	611
161	117	608
162	117	605
163	118	603
164	118	600
165	118	597
166	119	594
167	119	592
168	119	589
169	120	587
170	120	585
171	121	583
172	121	580
173	121	578
174	122	575
175	122	573
176	122	570
177	123	568
178	123	566
179	123	564
180	124	561
181	124	558
182	124	556
183	125	554
184	125	552
185	125	549
186	125	547
187	126	545
188	126	542
189	126	540
190	127	539
191	128	538
192	128	537
193	128	535
194	129	533
195	129	531
196	129	529
197	130	526
198	130	524
199	130	522
200	131	520
201	131	518
202	131	516
203	132	515
204	132	513
205	132	511
206	133	509
207	133	507
208	133	505
209	133	503
210	134	501
211	134	500
212	134	498
213	135	496
214	135	494
215	135	493
216	136	491
217	136	489
218	136	488
219	137	487
220	137	485
221	138	483
222	138	482
223	138	480
224	138	478
225	139	476
226	139	475
227	139	473
228	140	471
229	140	470
230	140	468
231	141	467
232	141	466
233	141	464
234	142	462
235	142	462
236	143	461
237	143	460
238	144	459
239	144	457
240	144	455
241	145	454
242	145	452
243	145	451
244	146	450
245	146	449
246	146	447
247	147	446
248	147	445
249	148	444
250	148	443
251	148	441
252	149	440
253	149	439
254	150	439
255	151	438
256	151	438
257	152	437
258	152	436
259	152	434
260	153	433
261	153	432
262	153	431
263	154	429
264	154	428
265	154	427
266	155	426
267	155	425
268	156	423
269	156	422
270	156	421
271	156	420
272	157	418
273	157	417
274	157	416
275	158	415
276	158	414
277	159	412
278	159	411
279	159	410
280	159	409
281	160	407
282	160	406
283	160	405
284	161	404
285	161	402
286	161	401
287	161	400
288	162	399
289	162	398
290	163	397
291	163	396
292	163	395
293	164	394
294	164	393
295	164	391
296	165	390
297	165	389
298	165	388
299	166	387
300	166	386
301	166	385
302	167	384
303	167	383
304	167	382
305	168	381
306	168	379
307	168	379
308	169	378
309	169	377
310	169	375
311	169	374
312	170	373
313	170	372
314	170	371
315	171	370
316	171	369
317	171	368
318	172	367
319	172	366
320	173	365
321	173	365
322	174	365
323	174	364
324	175	364
325	175	363
326	176	362
327	176	361
328	177	361
329	177	360
330	177	359
331	178	358
332	178	357
333	178	356
334	179	355
335	179	354
336	179	353
337	180	352
338	180	351
339	180	350
340	180	349
341	181	348
342	181	347
343	181	346
344	182	345
345	182	344
346	182	343
347	183	342
348	183	341
349	183	340
350	183	340
351	184	339
352	184	338
353	184	337
354	185	336
355	185	335
356	186	335
357	186	334
358	186	333
359	187	332
360	187	331
361	187	330
362	187	329
363	188	328
364	188	328
365	188	327
366	189	326
367	189	325
368	189	324
369	190	324
370	190	323
371	190	322
372	191	321
373	191	320
374	191	319
375	192	319
376	192	318
377	192	317
378	193	316
379	193	315
380	193	314
381	194	314
382	194	313
383	194	312
384	195	311
385	195	310
386	195	309
387	195	309
388	196	308
389	196	307
390	196	306
391	197	305
392	197	305
393	197	304
394	198	303
395	198	302
396	198	301
397	198	300
398	199	300
399	199	299
400	199	298
401	200	297
402	200	297
403	200	296
404	201	295
405	201	294
406	201	294
407	202	293
408	202	292
409	202	291
410	203	291
411	203	290
412	203	289
413	204	288
414	204	288
415	204	287
416	205	286
417	205	285
418	205	285
419	205	284
420	206	283
421	206	283
422	207	282
423	207	282
424	208	281
425	208	281
426	209	280
427	209	280
428	210	279
429	210	279
430	211	278
431	211	278
432	212	277
433	212	276
434	212	276
435	212	275
436	213	274
437	213	274
438	213	273
439	214	272
440	214	271
441	214	271
442	215	270
443	215	269
444	215	269
445	216	268
446	216	267
447	216	267
448	217	266
449	217	265
450	217	265
451	218	264
452	218	263
453	218	263
454	219	262
455	219	261
456	219	260
457	219	260
458	220	259
459	220	259
460	220	258
461	221	257
462	221	257
463	222	256
464	222	255
465	222	255
466	223	254
467	223	253
468	223	253
469	223	252
470	224	252
471	224	251
472	224	250
473	225	249
474	225	249
475	225	248
476	226	248
477	226	247
478	226	246
479	227	246
480	227	245
481	227	244
482	227	244
483	228	243
484	228	242
485	228	242
486	229	241
487	229	240
488	229	240
489	230	239
490	230	238
491	230	238
492	230	237
493	231	236
494	231	236
495	231	235
496	232	234
497	232	234
498	232	233
499	233	233
500	233	232
501	233	231
502	234	231
503	234	230
504	234	230
505	235	229
506	235	228
507	235	228
508	235	227
509	236	226
510	236	226
511	236	225
512	237	225
513	237	224
514	237	224
515	238	223
516	238	222
517	238	222
518	239	221
519	239	220
520	239	220
521	239	219
522	240	219
523	240	218
524	240	217
525	241	217
526	241	216
527	241	216
528	242	215
529	242	215
530	242	214
531	243	213
532	243	213
533	243	212
534	244	212
535	244	211
536	244	211
537	245	210
538	245	209
539	245	209
540	246	208
541	246	208
542	246	207
543	247	207
544	247	206
545	247	206
546	248	205
547	248	204
548	248	204
549	249	203
550	249	203
551	249	202
552	250	202
553	250	201
554	250	200
555	250	200
556	251	199
557	251	199
558	251	198
559	252	198
560	252	197
561	252	197
562	253	196
563	253	196
564	253	195
565	254	194
566	254	194
567	254	193
568	255	193
569	255	192
570	255	192
571	256	191
572	256	191
573	256	190
574	257	189
575	257	189
576	257	188
577	257	188
578	258	187
579	258	187
580	258	186
581	259	186
582	259	185
583	259	185
584	260	184
585	260	183
586	260	183
587	261	182
588	261	182
589	261	181
590	261	181
591	262	180
592	262	180
593	262	179
594	263	179
595	263	178
596	263	177
597	263	177
598	264	176
599	264	176
600	264	175
601	265	175
602	265	174
603	265	174
604	265	173
605	266	173
606	266	172
607	266	172
608	267	171
609	267	171
610	267	170
611	268	170
612	268	169
613	268	169
614	269	168
615	269	167
616	269	167
617	270	166
618	270	166
619	270	165
620	271	165
621	271	164
622	271	164
623	272	164
624	272	163
625	273	163
626	273	162
627	273	162
628	274	161
629	274	161
630	274	160
631	275	160
632	275	159
633	275	159
634	276	158
635	276	158
636	276	157
637	277	157
638	277	156
639	277	156
640	277	155
641	278	155
642	278	154
643	278	154
644	279	153
645	279	153
646	280	152
647	280	152
648	280	151
649	281	151
650	281	150
651	281	150
652	281	149
653	282	149
654	282	148
655	282	148
656	283	147
657	283	147
658	283	146
659	284	146
660	284	145
661	284	145
662	284	144
663	285	144
664	285	143
665	285	143
666	286	142
667	286	142
668	286	141
669	287	141
670	287	140
671	287	140
672	287	139
673	288	139
674	288	138
675	288	138
676	289	137
677	289	137
678	289	136
679	290	136
680	290	136
681	291	135
682	291	135
683	291	134
684	292	134
685	292	133
686	292	133
687	293	133
688	293	132
689	294	132
690	294	131
691	294	131
692	294	130
693	295	130
694	295	129
